[0226/131555.893:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131606.725:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131620.092:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131632.236:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131644.042:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131655.148:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131706.019:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131716.854:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131728.339:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131739.175:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131753.437:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131804.299:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131815.703:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131826.562:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131837.725:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131849.012:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131900.233:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131912.331:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131923.332:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131934.252:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131945.187:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131956.629:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132007.595:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132019.790:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132030.854:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132041.815:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132055.456:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132106.408:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132117.996:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132130.165:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132144.441:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132156.031:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132208.169:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132241.583:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132252.529:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132304.520:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132315.481:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132352.872:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132404.009:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132414.835:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132426.034:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/132438.231:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
